dest_ip,dest_port,highest_layer,length,timestamp
10.0.2.2,55595,SSH,90,1521397311.237798
10.0.2.2,55595,SSH,90,1521397311.238632
10.0.2.2,55595,SSH,98,1521397311.238749
10.0.2.2,55595,SSH,90,1521397311.238885
10.0.2.15,22,SSH,90,1521397311.851355
10.0.2.2,55595,SSH,90,1521397311.851511
10.0.2.15,22,SSH,90,1521397312.217683
10.0.2.2,55595,SSH,90,1521397312.2179
10.0.2.15,22,SSH,198,1521397313.483598
10.0.2.2,55595,SSH,234,1521397318.13905
10.0.2.2,55595,SSH,90,1521397319.155701
10.0.2.15,22,SSH,90,1521397319.801304
10.0.2.2,55595,SSH,90,1521397319.801504
10.0.2.2,55595,SSH,98,1521397319.812099
10.0.2.15,22,SSH,90,1521397322.329428
10.0.2.2,55595,SSH,90,1521397322.329665
10.0.2.15,22,SSH,90,1521397322.632964
10.0.2.2,55595,SSH,90,1521397322.634792
10.0.2.15,22,SSH,90,1521397323.86507
10.0.2.2,55595,SSH,90,1521397323.865238
10.0.2.2,55595,SSH,90,1521397323.86607
10.0.2.15,22,SSH,90,1521397325.369711
10.0.2.2,55595,SSH,90,1521397325.369927
10.0.2.15,22,SSH,90,1521397325.449434
10.0.2.2,55595,SSH,90,1521397325.449609
10.0.2.15,22,SSH,90,1521397325.545754
10.0.2.2,55595,SSH,90,1521397325.545943
10.0.2.15,22,SSH,90,1521397325.694566
10.0.2.2,55595,SSH,90,1521397325.694737
10.0.2.15,22,SSH,90,1521397325.806356
10.0.2.2,55595,SSH,90,1521397325.806523
10.0.2.15,22,SSH,90,1521397326.009408
10.0.2.2,55595,SSH,90,1521397326.009583
10.0.2.15,22,SSH,90,1521397326.01436
10.0.2.2,55595,SSH,90,1521397326.014537
10.0.2.15,22,SSH,90,1521397326.297598
10.0.2.2,55595,SSH,90,1521397326.297784
10.0.2.15,22,SSH,90,1521397326.521574
10.0.2.2,55595,SSH,90,1521397326.521762
10.0.2.15,22,SSH,90,1521397326.617391
10.0.2.2,55595,SSH,90,1521397326.617557
10.0.2.15,22,SSH,90,1521397326.71339
10.0.2.2,55595,SSH,90,1521397326.713572
10.0.2.15,22,SSH,90,1521397326.830355
10.0.2.2,55595,SSH,90,1521397326.830523
10.0.2.15,22,SSH,90,1521397327.033449
10.0.2.2,55595,SSH,90,1521397327.033637
10.0.2.15,22,SSH,90,1521397327.04941
10.0.2.2,55595,SSH,90,1521397327.049567
10.0.2.15,22,SSH,90,1521397327.097393
10.0.2.2,55595,SSH,90,1521397327.097558
10.0.2.15,22,SSH,90,1521397327.432926
10.0.2.2,55595,SSH,90,1521397327.434642
10.0.2.2,55595,SSH,122,1521397327.452711
10.0.2.2,55595,SSH,130,1521397327.48327
10.0.2.15,22,SSH,90,1521397327.897001
10.0.2.2,55595,SSH,90,1521397327.897155
10.0.2.2,55595,SSH,106,1521397327.897837
10.0.2.15,22,SSH,90,1521397328.089557
10.0.2.2,55595,SSH,90,1521397328.089742
10.0.2.15,22,SSH,90,1521397328.201399
10.0.2.2,55595,SSH,90,1521397328.201584
10.0.2.15,22,SSH,90,1521397328.265759
10.0.2.2,55595,SSH,90,1521397328.266014
10.0.2.15,22,SSH,90,1521397328.377418
10.0.2.2,55595,SSH,90,1521397328.37759
10.0.2.15,22,SSH,90,1521397328.505514
10.0.2.2,55595,SSH,90,1521397328.505689
10.0.2.15,22,SSH,90,1521397328.761466
10.0.2.2,55595,SSH,90,1521397328.761642
10.0.2.15,22,SSH,90,1521397328.85746
10.0.2.2,55595,SSH,90,1521397328.857625
10.0.2.15,22,SSH,90,1521397328.985808
10.0.2.2,55595,SSH,90,1521397328.985989
10.0.2.15,22,SSH,90,1521397329.065395
10.0.2.2,55595,SSH,90,1521397329.065553
10.0.2.15,22,SSH,90,1521397329.209346
10.0.2.2,55595,SSH,90,1521397329.20951
10.0.2.15,22,SSH,90,1521397329.433587
10.0.2.2,55595,SSH,90,1521397329.433768
10.0.2.15,22,SSH,90,1521397329.561361
10.0.2.2,55595,SSH,90,1521397329.561533
10.0.2.15,22,SSH,90,1521397329.65742
10.0.2.2,55595,SSH,90,1521397329.65758
10.0.2.15,22,SSH,90,1521397329.721454
10.0.2.2,55595,SSH,90,1521397329.721627
10.0.2.15,22,SSH,90,1521397330.024941
10.0.2.2,55595,SSH,90,1521397330.027048
10.0.2.2,55595,SSH,114,1521397330.045615
10.0.2.2,55595,SSH,138,1521397330.121826
10.0.2.15,22,SSH,90,1521397330.328977
10.0.2.2,55595,SSH,90,1521397330.329121
10.0.2.2,55595,SSH,106,1521397330.329949
10.0.2.15,22,SSH,90,1521397330.665478
10.0.2.2,55595,SSH,90,1521397330.665682
10.0.2.15,22,SSH,90,1521397330.762802
10.0.2.2,55595,SSH,90,1521397330.762974
10.0.2.15,22,SSH,90,1521397330.857352
10.0.2.2,55595,SSH,90,1521397330.857521
10.0.2.15,22,SSH,90,1521397331.023409
10.0.2.2,55595,SSH,90,1521397331.023609
10.0.2.15,22,SSH,90,1521397331.08202
10.0.2.2,55595,SSH,90,1521397331.082236
10.0.2.15,22,SSH,90,1521397331.145669
