Location,Variable,Date,Actual,Day0,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9
KATL,MaxPoP,2016-05-03,36,31,nan,nan,nan,nan,nan,nan,nan,nan,nan
KATL,MaxPoP,2016-05-04,58,40,20,nan,nan,nan,nan,nan,nan,nan,nan
KATL,MaxPoP,2016-05-05,19,36,10,9,nan,nan,nan,nan,nan,nan,nan
KATL,MaxPoP,2016-05-06,15,15,3,4,4,nan,nan,nan,nan,nan,nan
KATL,MaxPoP,2016-05-07,0,1,2,2,3,2,nan,nan,nan,nan,nan
KATL,MaxPoP,2016-05-08,0,1,1,2,2,3,1,nan,nan,nan,nan
KATL,MaxPoP,2016-05-09,0,1,1,2,2,3,3,9,nan,nan,nan
KATL,MaxPoP,2016-05-10,17,15,15,5,24,24,47,14,35,nan,nan
KATL,MaxPoP,2016-05-11,15,15,15,24,56,38,39,55,24,42,nan
KATL,MaxPoP,2016-05-12,68,41,23,65,48,56,24,42,58,44,30
KATL,MaxPoP,2016-05-13,99,99,38,23,83,21,15,24,21,24,47
KATL,MaxPoP,2016-05-14,0,1,1,2,2,4,2,1,16,50,24
KATL,MaxPoP,2016-05-15,0,0,3,3,1,3,2,3,10,20,48
KATL,MaxPoP,2016-05-16,0,0,1,24,14,20,58,19,16,35,42
KATL,MaxPoP,2016-05-17,99,62,44,42,34,58,33,58,58,24,58
KATL,MaxPoP,2016-05-18,86,49,15,57,62,36,58,58,58,58,32
KATL,MaxPoP,2016-05-19,43,53,32,52,64,40,58,58,58,58,33
KATL,MaxPoP,2016-05-20,76,89,84,95,95,83,76,58,58,54,58
KATL,MaxPoP,2016-05-21,38,38,54,59,97,93,83,74,58,51,54
KATL,MaxPoP,2016-05-22,0,4,4,15,15,7,12,30,37,58,41
KATL,MaxPoP,2016-05-23,0,1,1,2,2,3,3,36,35,39,35
KATL,MaxPoP,2016-05-24,0,1,0,1,1,4,9,7,10,18,47
KATL,MaxPoP,2016-05-25,0,1,0,0,5,4,15,11,10,58,15
KATL,MaxPoP,2016-05-26,nan,nan,15,42,5,9,19,18,24,18,24
KATL,MaxPoP,2016-05-27,0,nan,nan,24,14,6,13,15,21,34,36
KATL,MaxPoP,2016-05-28,2,3,nan,nan,5,14,7,57,17,34,58
KATL,MaxPoP,2016-05-29,20,20,4,nan,nan,13,24,35,58,58,58
KATL,MaxPoP,2016-05-30,15,19,2,2,nan,nan,20,24,38,46,56
KATL,MaxPoP,2016-05-31,31,23,15,36,15,nan,nan,24,21,42,53
KATL,MaxPoP,2016-06-01,36,35,15,22,15,24,nan,nan,42,58,35
KATL,MaxPoP,2016-06-02,37,24,19,57,40,74,41,nan,nan,58,37
KATL,MaxPoP,2016-06-03,15,15,34,33,15,61,24,24,nan,nan,58
KATL,MaxPoP,2016-06-04,15,59,47,47,34,24,48,66,58,nan,nan
KATL,MaxPoP,2016-06-05,99,99,75,88,84,89,44,24,64,32,nan
KATL,MaxPoP,2016-06-06,98,68,64,41,52,41,48,52,62,55,43
KATL,MaxPoP,2016-06-07,15,15,45,15,11,6,5,14,19,52,53
KATL,MaxPoP,2016-06-08,0,1,2,2,2,2,2,2,1,6,23
KATL,MaxPoP,2016-06-09,0,1,1,1,2,1,1,1,1,1,4
KATL,MaxPoP,2016-06-10,0,1,3,3,3,1,2,1,8,3,9
KATL,MaxPoP,2016-06-11,11,13,5,14,2,1,2,1,12,12,3
KATL,MaxPoP,2016-06-12,16,20,33,24,24,0,1,1,1,14,21
KATL,MaxPoP,2016-06-13,6,15,2,4,15,19,2,43,15,52,24
KATL,MaxPoP,2016-06-14,58,65,77,60,40,52,24,24,54,58,51
KATL,MaxPoP,2016-06-15,19,55,43,72,58,54,58,24,20,58,58
KATL,MaxPoP,2016-06-16,31,31,34,38,47,58,58,58,58,22,50
KATL,MaxPoP,2016-06-17,48,24,18,44,15,35,58,58,58,58,53
KATL,MaxPoP,2016-06-18,2,49,3,3,4,6,8,58,45,58,58
