Location,Variable,Date,Actual,Day0,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9
KATL,MaxTemp,2016-05-03,76,77,nan,nan,nan,nan,nan,nan,nan,nan,nan
KATL,MaxTemp,2016-05-04,71,71,72,nan,nan,nan,nan,nan,nan,nan,nan
KATL,MaxTemp,2016-05-05,65,63,64,65,nan,nan,nan,nan,nan,nan,nan
KATL,MaxTemp,2016-05-06,71,71,72,73,74,nan,nan,nan,nan,nan,nan
KATL,MaxTemp,2016-05-07,78,80,80,82,82,81,nan,nan,nan,nan,nan
KATL,MaxTemp,2016-05-08,85,85,86,86,87,86,86,nan,nan,nan,nan
KATL,MaxTemp,2016-05-09,79,82,83,83,85,86,87,86,nan,nan,nan
KATL,MaxTemp,2016-05-10,82,83,83,82,82,83,85,86,85,nan,nan
KATL,MaxTemp,2016-05-11,84,85,85,86,85,86,86,85,87,83,nan
KATL,MaxTemp,2016-05-12,85,85,86,85,87,86,88,86,85,85,83
KATL,MaxTemp,2016-05-13,79,80,82,81,79,82,84,85,86,84,86
KATL,MaxTemp,2016-05-14,81,81,82,82,83,81,86,86,87,84,85
KATL,MaxTemp,2016-05-15,70,72,72,73,75,80,83,83,83,86,85
KATL,MaxTemp,2016-05-16,77,77,76,76,77,78,85,85,87,83,85
KATL,MaxTemp,2016-05-17,73,77,83,82,81,82,83,81,81,85,84
KATL,MaxTemp,2016-05-18,80,80,82,82,83,81,81,84,83,84,86
KATL,MaxTemp,2016-05-19,80,78,77,75,73,77,77,82,85,84,84
KATL,MaxTemp,2016-05-20,67,68,70,72,74,74,75,73,82,83,82
KATL,MaxTemp,2016-05-21,80,78,78,77,77,78,74,76,77,81,82
KATL,MaxTemp,2016-05-22,78,77,77,77,76,76,78,75,81,81,83
KATL,MaxTemp,2016-05-23,82,81,81,79,80,80,79,81,82,83,84
KATL,MaxTemp,2016-05-24,84,85,85,84,83,83,84,83,86,83,85
KATL,MaxTemp,2016-05-25,72,86,87,87,86,85,84,86,88,85,85
KATL,MaxTemp,2016-05-26,nan,nan,86,87,87,86,85,84,84,88,86
KATL,MaxTemp,2016-05-27,84,nan,nan,85,86,87,85,86,86,86,86
KATL,MaxTemp,2016-05-28,86,85,nan,nan,85,84,85,83,86,85,85
KATL,MaxTemp,2016-05-29,87,86,88,nan,nan,86,84,85,85,85,83
KATL,MaxTemp,2016-05-30,91,87,88,88,nan,nan,85,87,86,84,83
KATL,MaxTemp,2016-05-31,90,89,87,88,88,nan,nan,84,87,86,84
KATL,MaxTemp,2016-06-01,90,90,89,87,89,88,nan,nan,87,87,86
KATL,MaxTemp,2016-06-02,89,90,89,89,87,87,88,nan,nan,86,85
KATL,MaxTemp,2016-06-03,92,91,91,90,90,87,85,86,nan,nan,86
KATL,MaxTemp,2016-06-04,88,89,89,90,91,88,86,83,84,nan,nan
KATL,MaxTemp,2016-06-05,82,79,80,80,83,82,86,85,82,83,nan
KATL,MaxTemp,2016-06-06,80,81,83,84,85,86,87,85,85,84,84
KATL,MaxTemp,2016-06-07,89,88,88,88,88,88,90,88,86,85,85
KATL,MaxTemp,2016-06-08,85,84,83,83,83,85,87,88,91,87,87
KATL,MaxTemp,2016-06-09,87,87,86,86,86,86,89,91,91,92,89
KATL,MaxTemp,2016-06-10,91,92,92,91,91,91,92,92,93,94,92
