Location,Variable,Date,Actual,Day0,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9
KATL,MinTemp,2016-05-03,65,65,nan,nan,nan,nan,nan,nan,nan,nan,nan
KATL,MinTemp,2016-05-04,56,57,57,nan,nan,nan,nan,nan,nan,nan,nan
KATL,MinTemp,2016-05-05,51,52,51,53,nan,nan,nan,nan,nan,nan,nan
KATL,MinTemp,2016-05-06,47,48,50,51,50,nan,nan,nan,nan,nan,nan
KATL,MinTemp,2016-05-07,51,53,53,53,54,54,nan,nan,nan,nan,nan
KATL,MinTemp,2016-05-08,61,62,62,61,63,64,61,nan,nan,nan,nan
KATL,MinTemp,2016-05-09,63,64,64,64,65,66,65,64,nan,nan,nan
KATL,MinTemp,2016-05-10,65,65,64,65,66,67,68,67,65,nan,nan
KATL,MinTemp,2016-05-11,64,65,66,66,66,66,68,68,68,66,nan
KATL,MinTemp,2016-05-12,68,68,68,68,67,67,68,68,68,68,65
KATL,MinTemp,2016-05-13,64,65,66,68,67,66,66,67,67,66,66
KATL,MinTemp,2016-05-14,56,58,58,59,59,59,61,62,64,65,64
KATL,MinTemp,2016-05-15,51,51,53,54,56,59,61,60,61,66,64
KATL,MinTemp,2016-05-16,54,54,55,56,56,59,64,62,62,62,66
KATL,MinTemp,2016-05-17,64,65,65,65,62,64,66,66,68,65,63
KATL,MinTemp,2016-05-18,66,65,64,66,66,65,66,68,65,67,64
KATL,MinTemp,2016-05-19,63,64,62,65,64,64,66,67,69,67,66
KATL,MinTemp,2016-05-20,60,59,61,63,64,61,65,65,65,68,67
KATL,MinTemp,2016-05-21,63,64,63,63,66,68,65,66,64,66,68
KATL,MinTemp,2016-05-22,58,58,59,59,59,60,62,63,65,64,67
KATL,MinTemp,2016-05-23,58,59,58,56,58,59,58,60,61,66,65
KATL,MinTemp,2016-05-24,60,61,61,59,59,59,60,61,61,64,66
KATL,MinTemp,2016-05-25,65,64,65,64,64,64,66,66,64,67,65
KATL,MinTemp,2016-05-26,nan,nan,67,67,66,66,67,68,68,67,68
KATL,MinTemp,2016-05-27,77,nan,nan,67,67,68,68,69,68,68,69
KATL,MinTemp,2016-05-28,67,66,nan,nan,65,66,66,69,68,69,69
KATL,MinTemp,2016-05-29,68,68,67,nan,nan,67,66,67,68,69,69
KATL,MinTemp,2016-05-30,68,67,68,69,nan,nan,66,67,68,69,69
KATL,MinTemp,2016-05-31,71,69,69,68,69,nan,nan,67,68,69,69
KATL,MinTemp,2016-06-01,71,71,69,71,69,69,nan,nan,68,69,69
KATL,MinTemp,2016-06-02,69,71,71,71,70,70,70,nan,nan,69,69
KATL,MinTemp,2016-06-03,70,72,72,72,71,71,70,70,nan,nan,70
KATL,MinTemp,2016-06-04,74,73,73,73,72,72,70,68,69,nan,nan
KATL,MinTemp,2016-06-05,71,72,71,72,73,72,71,70,66,67,nan
KATL,MinTemp,2016-06-06,71,71,70,69,68,69,68,68,69,66,67
KATL,MinTemp,2016-06-07,69,68,70,70,68,67,67,65,65,68,65
KATL,MinTemp,2016-06-08,64,65,64,64,64,65,67,65,65,65,68
KATL,MinTemp,2016-06-09,62,64,64,62,62,61,62,64,65,68,66
KATL,MinTemp,2016-06-10,71,67,68,67,66,66,65,66,70,70,72
KATL,MinTemp,2016-06-11,74,72,72,72,72,72,71,70,71,74,72
KATL,MinTemp,2016-06-12,75,74,74,74,74,74,76,74,74,72,74
KATL,MinTemp,2016-06-13,75,75,75,74,75,75,72,76,75,75,74
KATL,MinTemp,2016-06-14,75,76,76,76,75,75,74,69,75,75,74
KATL,MinTemp,2016-06-15,72,74,76,74,75,75,75,75,74,73,74
KATL,MinTemp,2016-06-16,72,74,74,75,75,75,75,74,75,75,73
KATL,MinTemp,2016-06-17,72,75,75,77,77,76,75,74,73,74,73
KATL,MinTemp,2016-06-18,72,71,69,70,71,69,69,71,70,70,72
KATL,MinTemp,2016-06-19,71,68,67,65,65,66,65,65,68,67,69
KATL,MinTemp,2016-06-20,nan,nan,67,66,64,64,69,66,66,69,70
KATL,MinTemp,2016-06-21,68,68,nan,70,69,68,67,71,71,71,71
KATL,MinTemp,2016-06-22,73,73,73,nan,73,73,73,73,74,74,71
KATL,MinTemp,2016-06-23,73,73,73,73,nan,74,70,70,73,75,72
KATL,MinTemp,2016-06-24,77,76,76,76,76,nan,76,68,68,72,74
KATL,MinTemp,2016-06-25,78,75,78,78,77,78,nan,74,69,70,74
KATL,MinTemp,2016-06-26,76,76,76,77,77,76,77,nan,73,71,71
KATL,MinTemp,2016-06-27,72,72,75,75,75,75,74,75,nan,73,69
KATL,MinTemp,2016-06-28,73,75,74,73,75,75,74,74,75,nan,71
KATL,MinTemp,2016-06-29,71,70,72,70,70,72,74,74,73,74,nan
KATL,MinTemp,2016-06-30,72,72,71,71,69,69,70,72,73,73,74
KATL,MinTemp,2016-07-01,74,72,72,71,71,71,70,73,73,73,73
KATL,MinTemp,2016-07-02,74,74,74,74,74,73,73,72,73,72,73
KATL,MinTemp,2016-07-03,74,76,76,76,76,75,76,75,73,72,72
KATL,MinTemp,2016-07-04,76,77,77,77,76,76,76,75,73,72,72
KATL,MinTemp,2016-07-05,74,77,76,77,77,77,77,75,74,73,72
KATL,MinTemp,2016-07-06,72,74,76,76,77,77,77,77,75,75,73
KATL,MinTemp,2016-07-07,72,72,75,76,76,77,77,77,77,76,75
KATL,MinTemp,2016-07-08,78,77,76,76,77,76,77,78,78,78,76
KATL,MinTemp,2016-07-09,77,78,78,77,77,77,77,79,79,78,77
KATL,MinTemp,2016-07-10,72,75,75,76,76,76,77,77,78,79,76
KATL,MinTemp,2016-07-11,72,74,73,73,75,75,76,76,76,78,77
KATL,MinTemp,2016-07-12,70,70,74,73,74,75,74,75,76,76,77
KATL,MinTemp,2016-07-13,72,74,75,75,75,75,76,74,75,76,76
