Location,Variable,Date,Actual,Day0,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9
KCMI,MaxPoP,2016-03-04,45,22,nan,nan,nan,nan,nan,nan,nan,nan,nan
KCMI,MaxPoP,2016-03-05,24,24,34,nan,nan,nan,nan,nan,nan,nan,nan
KCMI,MaxPoP,2016-03-06,1,7,8,8,nan,nan,nan,nan,nan,nan,nan
KCMI,MaxPoP,2016-03-07,53,75,46,16,48,nan,nan,nan,nan,nan,nan
KCMI,MaxPoP,2016-03-08,37,41,6,92,94,83,nan,nan,nan,nan,nan
KCMI,MaxPoP,2016-03-09,67,100,91,82,96,92,83,nan,nan,nan,nan
KCMI,MaxPoP,2016-03-10,76,65,98,95,91,76,77,43,nan,nan,nan
KCMI,MaxPoP,2016-03-11,0,3,3,6,49,24,39,50,57,nan,nan
KCMI,MaxPoP,2016-03-12,59,57,87,70,81,86,35,58,58,58,nan
KCMI,MaxPoP,2016-03-13,93,100,75,84,82,92,63,65,58,35,33
KCMI,MaxPoP,2016-03-14,44,41,48,45,59,72,74,58,49,48,53
KCMI,MaxPoP,2016-03-15,16,67,42,40,58,58,63,14,7,24,24
KCMI,MaxPoP,2016-03-16,15,15,23,20,8,12,51,64,59,38,35
KCMI,MaxPoP,2016-03-17,15,0,4,11,3,6,10,16,58,24,58
KCMI,MaxPoP,2016-03-18,0,7,3,24,8,6,3,13,9,56,46
KCMI,MaxPoP,2016-03-19,68,60,67,24,24,60,65,60,47,36,36
KCMI,MaxPoP,2016-03-20,74,48,42,63,6,18,38,62,60,38,24
KCMI,MaxPoP,2016-03-21,0,1,2,2,2,1,8,10,3,9,36
KCMI,MaxPoP,2016-03-22,1,2,2,3,12,6,11,24,31,19,13
KCMI,MaxPoP,2016-03-23,45,49,78,79,59,36,42,33,34,58,58
KCMI,MaxPoP,2016-03-24,96,100,81,85,81,91,78,69,60,34,58
KCMI,MaxPoP,2016-03-25,0,2,3,5,4,24,17,74,58,58,39
KCMI,MaxPoP,2016-03-26,0,2,4,3,11,5,9,11,15,58,24
KCMI,MaxPoP,2016-03-27,100,91,52,45,68,65,53,45,32,18,38
KCMI,MaxPoP,2016-03-28,0,3,6,4,44,63,20,57,58,58,58
KCMI,MaxPoP,2016-03-29,0,2,2,2,3,1,2,10,39,24,24
KCMI,MaxPoP,2016-03-30,100,64,51,88,43,68,34,33,33,24,58
KCMI,MaxPoP,2016-03-31,100,97,74,97,91,92,78,58,58,58,58
KCMI,MaxPoP,2016-04-01,15,24,15,45,24,30,10,6,58,58,45
KCMI,MaxPoP,2016-04-02,15,15,2,2,1,1,0,2,14,19,11
KCMI,MaxPoP,2016-04-03,0,2,2,1,1,4,7,3,6,8,22
KCMI,MaxPoP,2016-04-04,48,15,30,22,33,37,22,24,15,13,11
KCMI,MaxPoP,2016-04-05,0,4,4,34,12,5,6,12,24,31,18
KCMI,MaxPoP,2016-04-06,100,100,94,94,93,93,80,68,38,58,46
KCMI,MaxPoP,2016-04-07,31,15,45,43,73,35,24,46,24,55,53
KCMI,MaxPoP,2016-04-08,57,47,40,38,62,54,53,2,9,4,58
KCMI,MaxPoP,2016-04-09,15,15,17,3,4,8,3,6,48,21,24
KCMI,MaxPoP,2016-04-10,100,93,98,92,78,65,41,45,46,58,24
KCMI,MaxPoP,2016-04-11,72,48,66,64,98,86,80,72,64,56,58
KCMI,MaxPoP,2016-04-12,0,1,1,2,2,2,17,44,64,58,38
KCMI,MaxPoP,2016-04-13,0,1,1,2,3,2,2,10,16,12,24
KCMI,MaxPoP,2016-04-14,1,1,1,1,2,2,1,2,12,21,21
KCMI,MaxPoP,2016-04-15,14,10,15,3,3,3,2,2,3,17,23
KCMI,MaxPoP,2016-04-16,2,3,5,3,3,3,2,3,22,6,24
KCMI,MaxPoP,2016-04-17,0,1,1,1,1,1,2,2,9,58,24
KCMI,MaxPoP,2016-04-18,0,0,1,0,1,2,6,55,20,21,49
KCMI,MaxPoP,2016-04-19,15,15,31,15,31,24,9,60,58,38,58
KCMI,MaxPoP,2016-04-20,100,90,83,56,43,24,12,13,58,58,58
KCMI,MaxPoP,2016-04-21,77,77,63,56,89,58,58,38,12,58,52
KCMI,MaxPoP,2016-04-22,22,40,24,13,6,16,58,42,47,24,30
KCMI,MaxPoP,2016-04-23,1,2,2,2,4,1,1,2,13,19,58
KCMI,MaxPoP,2016-04-24,1,2,2,3,4,3,44,30,15,58,37
KCMI,MaxPoP,2016-04-25,15,41,33,30,78,73,76,52,24,51,58
KCMI,MaxPoP,2016-04-26,81,43,49,38,16,78,73,74,62,43,53
KCMI,MaxPoP,2016-04-27,74,85,91,100,90,58,63,59,60,58,36
KCMI,MaxPoP,2016-04-28,100,100,47,72,77,58,24,54,36,53,24
KCMI,MaxPoP,2016-04-29,15,15,4,6,7,9,33,18,11,58,58
