Location,Variable,Date,Actual,Day0,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9
KCMI,MaxTemp,2016-03-04,40,41,nan,nan,nan,nan,nan,nan,nan,nan,nan
KCMI,MaxTemp,2016-03-05,45,46,47,nan,nan,nan,nan,nan,nan,nan,nan
KCMI,MaxTemp,2016-03-06,53,53,53,53,nan,nan,nan,nan,nan,nan,nan
KCMI,MaxTemp,2016-03-07,63,64,62,63,62,nan,nan,nan,nan,nan,nan
KCMI,MaxTemp,2016-03-08,68,65,66,65,64,64,nan,nan,nan,nan,nan
KCMI,MaxTemp,2016-03-09,66,64,62,62,62,61,62,nan,nan,nan,nan
KCMI,MaxTemp,2016-03-10,57,57,57,61,63,61,58,59,nan,nan,nan
KCMI,MaxTemp,2016-03-11,57,59,61,61,60,64,62,59,59,nan,nan
KCMI,MaxTemp,2016-03-12,58,60,63,66,65,66,66,65,62,63,nan
KCMI,MaxTemp,2016-03-13,63,60,64,66,66,65,63,64,64,64,61
KCMI,MaxTemp,2016-03-14,61,62,60,63,67,68,68,63,60,60,60
KCMI,MaxTemp,2016-03-15,73,69,70,70,68,71,72,70,67,62,60
KCMI,MaxTemp,2016-03-16,61,60,59,60,58,59,61,70,72,71,66
KCMI,MaxTemp,2016-03-17,61,57,55,55,55,52,54,51,59,61,68
KCMI,MaxTemp,2016-03-18,51,51,50,48,48,50,51,48,49,53,58
KCMI,MaxTemp,2016-03-19,48,47,47,44,45,43,48,48,48,47,49
KCMI,MaxTemp,2016-03-20,47,46,45,45,46,46,47,47,49,51,48
KCMI,MaxTemp,2016-03-21,52,50,50,51,46,49,51,50,48,48,50
KCMI,MaxTemp,2016-03-22,65,63,63,64,64,62,62,56,53,53,49
KCMI,MaxTemp,2016-03-23,66,62,62,62,63,64,65,62,58,59,54
KCMI,MaxTemp,2016-03-24,61,60,57,57,58,58,58,56,54,57,57
KCMI,MaxTemp,2016-03-25,45,50,51,50,50,46,48,46,44,50,55
KCMI,MaxTemp,2016-03-26,60,59,60,60,61,61,57,55,57,48,56
KCMI,MaxTemp,2016-03-27,67,64,57,59,59,54,53,56,58,57,55
KCMI,MaxTemp,2016-03-28,54,55,57,58,56,54,52,53,47,55,53
KCMI,MaxTemp,2016-03-29,58,57,58,62,63,62,58,56,51,50,53
KCMI,MaxTemp,2016-03-30,63,64,64,66,68,69,67,66,61,56,53
KCMI,MaxTemp,2016-03-31,67,68,67,64,62,64,62,64,62,60,56
KCMI,MaxTemp,2016-04-01,52,54,54,53,53,52,55,54,52,52,52
KCMI,MaxTemp,2016-04-02,48,49,49,52,53,55,57,54,50,50,49
KCMI,MaxTemp,2016-04-03,66,63,62,59,56,56,56,48,38,38,46
KCMI,MaxTemp,2016-04-04,56,52,53,54,53,54,55,59,49,47,42
KCMI,MaxTemp,2016-04-05,51,48,50,51,49,49,51,55,63,64,54
KCMI,MaxTemp,2016-04-06,55,56,56,57,59,61,58,61,61,66,60
KCMI,MaxTemp,2016-04-07,46,47,50,49,49,48,48,50,49,56,59
KCMI,MaxTemp,2016-04-08,45,46,47,49,43,41,48,55,51,54,54
KCMI,MaxTemp,2016-04-09,40,42,43,43,41,42,55,55,57,61,59
