Location,Variable,Date,Actual,Day0,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9
KORD,MaxPoP,2016-03-04,91,69,nan,nan,nan,nan,nan,nan,nan,nan,nan
KORD,MaxPoP,2016-03-05,53,32,38,nan,nan,nan,nan,nan,nan,nan,nan
KORD,MaxPoP,2016-03-06,1,13,19,7,nan,nan,nan,nan,nan,nan,nan
KORD,MaxPoP,2016-03-07,48,44,50,24,23,nan,nan,nan,nan,nan,nan
KORD,MaxPoP,2016-03-08,30,15,44,90,76,71,nan,nan,nan,nan,nan
KORD,MaxPoP,2016-03-09,88,84,98,90,66,73,71,nan,nan,nan,nan
KORD,MaxPoP,2016-03-10,0,3,24,96,77,20,50,41,nan,nan,nan
KORD,MaxPoP,2016-03-11,3,3,4,5,36,31,24,33,13,nan,nan
KORD,MaxPoP,2016-03-12,0,17,81,58,63,76,55,58,55,58,nan
KORD,MaxPoP,2016-03-13,100,87,66,90,90,86,75,67,58,34,48
KORD,MaxPoP,2016-03-14,64,34,51,54,55,70,50,51,64,24,54
KORD,MaxPoP,2016-03-15,53,67,52,64,87,58,41,43,17,46,43
KORD,MaxPoP,2016-03-16,75,69,71,36,31,43,58,70,64,42,30
KORD,MaxPoP,2016-03-17,24,15,33,35,24,15,24,20,38,24,58
KORD,MaxPoP,2016-03-18,10,4,10,24,23,30,13,20,23,16,47
KORD,MaxPoP,2016-03-19,6,4,22,16,7,18,71,63,58,38,24
KORD,MaxPoP,2016-03-20,1,7,3,6,4,4,41,53,64,31,24
KORD,MaxPoP,2016-03-21,1,1,2,2,3,11,8,9,20,10,34
KORD,MaxPoP,2016-03-22,0,15,10,43,13,16,19,34,24,44,19
KORD,MaxPoP,2016-03-23,44,87,76,83,92,81,48,66,32,55,58
KORD,MaxPoP,2016-03-24,100,99,89,70,83,92,80,69,64,47,55
KORD,MaxPoP,2016-03-25,2,3,4,14,4,43,12,74,58,55,38
KORD,MaxPoP,2016-03-26,0,2,7,23,24,22,24,13,15,58,54
KORD,MaxPoP,2016-03-27,100,84,37,14,69,70,74,57,17,58,51
KORD,MaxPoP,2016-03-28,7,9,6,7,14,69,21,55,58,58,58
KORD,MaxPoP,2016-03-29,2,2,3,6,15,24,9,8,57,58,40
KORD,MaxPoP,2016-03-30,99,85,57,78,94,38,31,39,24,53,58
KORD,MaxPoP,2016-03-31,73,67,76,88,78,93,50,58,58,58,58
KORD,MaxPoP,2016-04-01,77,71,60,42,32,37,24,9,58,58,35
KORD,MaxPoP,2016-04-02,96,49,32,18,21,1,5,35,22,38,16
KORD,MaxPoP,2016-04-03,15,15,40,32,7,38,36,5,36,3,24
