Location,Variable,Date,Actual,Day0,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9
KORD,MaxTemp,2016-03-04,39,37,nan,nan,nan,nan,nan,nan,nan,nan,nan
KORD,MaxTemp,2016-03-05,39,40,40,nan,nan,nan,nan,nan,nan,nan,nan
KORD,MaxTemp,2016-03-06,51,49,50,48,nan,nan,nan,nan,nan,nan,nan
KORD,MaxTemp,2016-03-07,59,57,57,56,58,nan,nan,nan,nan,nan,nan
KORD,MaxTemp,2016-03-08,69,65,65,65,62,64,nan,nan,nan,nan,nan
KORD,MaxTemp,2016-03-09,63,64,62,61,59,57,56,nan,nan,nan,nan
KORD,MaxTemp,2016-03-10,52,53,52,52,54,50,50,49,nan,nan,nan
KORD,MaxTemp,2016-03-11,51,54,53,53,48,55,56,51,53,nan,nan
KORD,MaxTemp,2016-03-12,57,58,58,55,58,56,63,59,57,58,nan
KORD,MaxTemp,2016-03-13,48,48,51,59,61,58,58,57,57,55,54
KORD,MaxTemp,2016-03-14,53,53,52,56,62,62,60,57,54,53,53
KORD,MaxTemp,2016-03-15,58,57,58,63,58,59,61,62,62,55,53
KORD,MaxTemp,2016-03-16,58,58,56,58,55,56,60,65,67,64,58
KORD,MaxTemp,2016-03-17,54,52,48,49,50,50,52,50,56,56,61
KORD,MaxTemp,2016-03-18,45,43,42,41,42,45,48,46,45,48,51
KORD,MaxTemp,2016-03-19,43,39,39,38,40,42,46,47,44,44,45
KORD,MaxTemp,2016-03-20,44,42,42,43,44,44,44,45,48,48,44
KORD,MaxTemp,2016-03-21,48,47,47,47,40,41,45,45,45,45,45
KORD,MaxTemp,2016-03-22,61,60,60,60,60,55,54,49,45,48,45
KORD,MaxTemp,2016-03-23,48,48,50,47,43,49,55,55,52,52,49
KORD,MaxTemp,2016-03-24,39,42,44,44,37,42,48,49,46,51,51
KORD,MaxTemp,2016-03-25,45,44,45,46,46,40,44,45,42,47,50
KORD,MaxTemp,2016-03-26,53,54,55,56,55,55,51,50,51,45,50
KORD,MaxTemp,2016-03-27,59,57,53,52,46,44,43,48,48,50,48
KORD,MaxTemp,2016-03-28,49,51,53,57,52,49,48,46,43,48,46
KORD,MaxTemp,2016-03-29,57,55,53,57,60,56,52,50,48,44,48
KORD,MaxTemp,2016-03-30,61,60,60,62,63,65,66,60,58,51,46
KORD,MaxTemp,2016-03-31,66,65,61,60,59,61,60,60,57,56,51
KORD,MaxTemp,2016-04-01,51,50,49,50,48,48,49,49,46,48,48
KORD,MaxTemp,2016-04-02,41,41,43,43,45,50,52,46,43,45,45
KORD,MaxTemp,2016-04-03,67,63,59,57,51,44,46,40,33,36,41
KORD,MaxTemp,2016-04-04,48,36,39,42,51,45,45,52,43,41,39
KORD,MaxTemp,2016-04-05,45,45,45,44,44,43,45,50,51,51,47
KORD,MaxTemp,2016-04-06,50,54,54,53,54,55,54,56,55,60,51
KORD,MaxTemp,2016-04-07,44,44,43,43,39,43,46,47,46,51,52
KORD,MaxTemp,2016-04-08,41,41,42,44,38,36,43,48,48,52,48
KORD,MaxTemp,2016-04-09,36,37,38,38,36,38,51,51,51,55,52
KORD,MaxTemp,2016-04-10,49,51,52,57,50,45,54,57,53,51,55
KORD,MaxTemp,2016-04-11,49,49,50,50,51,51,54,53,52,49,48
KORD,MaxTemp,2016-04-12,46,45,45,44,44,44,48,45,47,48,47
KORD,MaxTemp,2016-04-13,56,55,57,54,54,50,48,48,45,47,49
KORD,MaxTemp,2016-04-14,58,58,60,61,58,59,56,52,52,50,49
KORD,MaxTemp,2016-04-15,66,65,65,65,63,61,61,61,58,56,53
KORD,MaxTemp,2016-04-16,74,72,72,69,68,66,62,62,66,62,58
KORD,MaxTemp,2016-04-17,78,76,72,71,71,70,70,67,65,65,62
KORD,MaxTemp,2016-04-18,80,79,76,71,64,57,63,64,60,64,61
KORD,MaxTemp,2016-04-19,59,60,63,60,56,59,63,60,60,62,57
KORD,MaxTemp,2016-04-20,71,70,70,63,65,66,68,64,60,64,60
KORD,MaxTemp,2016-04-21,68,69,69,66,65,64,66,68,67,64,59
KORD,MaxTemp,2016-04-22,55,54,54,53,54,54,61,65,66,67,59
KORD,MaxTemp,2016-04-23,59,60,61,63,66,64,67,67,70,66,65
KORD,MaxTemp,2016-04-24,76,75,76,77,77,66,55,69,71,73,67
KORD,MaxTemp,2016-04-25,78,78,74,76,71,68,64,57,71,70,70
KORD,MaxTemp,2016-04-26,66,65,63,61,53,52,52,62,58,63,66
KORD,MaxTemp,2016-04-27,50,53,53,53,52,61,60,57,66,56,58
KORD,MaxTemp,2016-04-28,49,48,50,49,49,54,62,63,64,62,59
KORD,MaxTemp,2016-04-29,49,51,52,55,56,56,55,57,60,59,61
KORD,MaxTemp,2016-04-30,49,49,50,52,57,58,57,56,59,63,63
KORD,MaxTemp,2016-05-01,49,50,49,53,53,56,59,54,57,64,67
KORD,MaxTemp,2016-05-02,56,54,56,59,59,60,60,58,53,57,61
KORD,MaxTemp,2016-05-03,65,64,64,64,66,68,69,62,59,55,58
KORD,MaxTemp,2016-05-04,58,56,52,54,55,60,70,64,68,59,59
KORD,MaxTemp,2016-05-05,60,59,58,57,57,56,62,65,66,68,62
KORD,MaxTemp,2016-05-06,81,76,75,76,75,74,63,60,68,59,64
KORD,MaxTemp,2016-05-07,69,67,63,65,70,76,78,70,68,68,64
KORD,MaxTemp,2016-05-08,69,68,67,67,66,65,66,60,73,72,67
KORD,MaxTemp,2016-05-09,57,56,58,62,66,64,67,71,64,70,65
KORD,MaxTemp,2016-05-10,63,64,66,67,67,67,66,71,70,71,67
KORD,MaxTemp,2016-05-11,68,69,70,71,75,77,62,66,72,65,68
KORD,MaxTemp,2016-05-12,68,70,71,72,69,71,66,64,66,70,65
KORD,MaxTemp,2016-05-13,66,64,65,65,63,64,65,67,65,68,67
KORD,MaxTemp,2016-05-14,48,50,51,50,54,56,55,58,62,64,66
KORD,MaxTemp,2016-05-15,55,55,55,54,56,57,60,58,60,62,64
KORD,MaxTemp,2016-05-16,69,65,65,65,61,60,60,60,59,63,63
