Location,Variable,Date,Actual,Day0,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9
KORD,MinTemp,2016-03-04,23,24,nan,nan,nan,nan,nan,nan,nan,nan,nan
KORD,MinTemp,2016-03-05,29,29,32,nan,nan,nan,nan,nan,nan,nan,nan
KORD,MinTemp,2016-03-06,31,29,30,28,nan,nan,nan,nan,nan,nan,nan
KORD,MinTemp,2016-03-07,46,46,45,45,43,nan,nan,nan,nan,nan,nan
KORD,MinTemp,2016-03-08,58,55,54,54,54,55,nan,nan,nan,nan,nan
KORD,MinTemp,2016-03-09,54,54,52,54,48,48,47,nan,nan,nan,nan
KORD,MinTemp,2016-03-10,39,41,40,40,42,44,44,44,nan,nan,nan
KORD,MinTemp,2016-03-11,35,36,37,36,36,39,41,41,40,nan,nan
KORD,MinTemp,2016-03-12,36,38,41,41,40,42,48,46,46,44,nan
KORD,MinTemp,2016-03-13,43,43,47,50,52,52,50,51,50,47,47
KORD,MinTemp,2016-03-14,43,44,43,49,54,53,51,47,46,45,42
KORD,MinTemp,2016-03-15,43,42,43,43,45,47,51,48,47,41,40
KORD,MinTemp,2016-03-16,46,48,47,46,46,44,50,53,52,53,46
KORD,MinTemp,2016-03-17,41,42,40,40,40,40,42,43,47,49,51
KORD,MinTemp,2016-03-18,33,34,32,32,34,36,38,36,36,41,44
KORD,MinTemp,2016-03-19,34,33,33,31,30,31,36,35,35,34,37
KORD,MinTemp,2016-03-20,32,31,31,32,29,29,33,35,36,36,35
KORD,MinTemp,2016-03-21,31,31,31,31,30,30,31,33,31,34,36
KORD,MinTemp,2016-03-22,39,40,42,42,40,32,34,35,33,35,34
KORD,MinTemp,2016-03-23,36,39,42,37,39,42,47,48,46,39,36
KORD,MinTemp,2016-03-24,30,32,32,32,32,35,42,38,39,41,41
KORD,MinTemp,2016-03-25,29,28,28,30,30,29,31,36,35,36,37
KORD,MinTemp,2016-03-26,33,34,32,35,34,37,32,36,34,35,39
KORD,MinTemp,2016-03-27,39,43,45,40,39,38,38,39,39,38,37
KORD,MinTemp,2016-03-28,37,38,40,38,37,34,35,33,34,37,37
KORD,MinTemp,2016-03-29,33,33,33,35,39,34,36,36,36,34,36
KORD,MinTemp,2016-03-30,42,42,43,43,45,48,45,42,40,38,35
KORD,MinTemp,2016-03-31,47,46,44,43,46,46,45,45,47,45,41
KORD,MinTemp,2016-04-01,38,39,39,37,38,39,39,38,38,39,39
KORD,MinTemp,2016-04-02,30,31,32,32,34,33,35,32,30,36,35
KORD,MinTemp,2016-04-03,27,28,29,29,28,30,33,29,23,25,33
KORD,MinTemp,2016-04-04,29,29,30,30,31,32,34,34,30,27,27
KORD,MinTemp,2016-04-05,26,28,29,29,29,29,30,33,37,36,35
KORD,MinTemp,2016-04-06,41,41,41,40,41,39,40,41,38,44,41
KORD,MinTemp,2016-04-07,37,36,35,35,33,34,37,36,36,42,43
KORD,MinTemp,2016-04-08,30,31,31,31,30,30,31,32,32,33,38
KORD,MinTemp,2016-04-09,24,25,26,26,26,27,29,32,37,38,37
KORD,MinTemp,2016-04-10,32,32,32,32,30,28,31,40,40,37,43
KORD,MinTemp,2016-04-11,39,38,39,39,39,41,43,46,42,41,39
KORD,MinTemp,2016-04-12,31,32,32,32,32,33,35,36,38,39,37
KORD,MinTemp,2016-04-13,35,34,33,32,30,32,32,33,34,35,36
KORD,MinTemp,2016-04-14,37,38,39,40,39,39,37,35,37,35,37
KORD,MinTemp,2016-04-15,42,41,40,41,40,40,43,43,39,39,39
KORD,MinTemp,2016-04-16,44,46,48,49,47,47,43,44,47,44,43
KORD,MinTemp,2016-04-17,49,50,48,49,50,49,49,45,48,49,48
KORD,MinTemp,2016-04-18,51,53,52,50,47,48,50,54,48,51,49
KORD,MinTemp,2016-04-19,48,50,49,47,46,43,42,47,50,46,47
KORD,MinTemp,2016-04-20,51,50,51,51,48,45,44,44,47,51,46
KORD,MinTemp,2016-04-21,56,57,57,54,52,53,49,48,48,49,48
KORD,MinTemp,2016-04-22,41,42,41,41,44,45,47,50,50,50,46
KORD,MinTemp,2016-04-23,39,40,39,38,39,41,41,44,49,50,51
KORD,MinTemp,2016-04-24,44,45,49,50,51,49,47,49,52,57,51
KORD,MinTemp,2016-04-25,60,61,61,55,51,52,50,47,54,58,58
KORD,MinTemp,2016-04-26,41,45,45,45,47,46,45,47,48,54,52
KORD,MinTemp,2016-04-27,42,42,44,44,44,47,46,43,47,48,50
KORD,MinTemp,2016-04-28,43,44,45,44,43,47,50,51,48,48,46
KORD,MinTemp,2016-04-29,42,42,41,43,44,44,43,45,49,46,47
KORD,MinTemp,2016-04-30,42,43,42,44,44,46,46,43,46,48,50
KORD,MinTemp,2016-05-01,44,44,45,45,46,50,49,48,48,50,52
KORD,MinTemp,2016-05-02,43,43,43,43,42,45,48,47,46,49,50
KORD,MinTemp,2016-05-03,41,42,42,42,45,46,46,47,46,45,47
KORD,MinTemp,2016-05-04,43,43,44,43,46,48,53,51,49,47,46
KORD,MinTemp,2016-05-05,42,41,41,41,40,42,42,48,49,49,47
KORD,MinTemp,2016-05-06,44,45,43,46,44,46,44,45,49,50,48
KORD,MinTemp,2016-05-07,48,50,48,48,50,56,56,47,46,49,50
KORD,MinTemp,2016-05-08,44,45,45,44,45,46,51,52,54,51,50
KORD,MinTemp,2016-05-09,50,51,51,50,52,49,49,54,51,56,54
KORD,MinTemp,2016-05-10,50,52,53,54,58,58,55,57,59,54,56
KORD,MinTemp,2016-05-11,52,52,55,57,57,58,53,56,61,56,53
KORD,MinTemp,2016-05-12,55,56,59,59,58,58,55,52,53,54,52
KORD,MinTemp,2016-05-13,49,49,50,52,52,52,53,53,52,53,53
KORD,MinTemp,2016-05-14,42,41,43,42,45,45,46,49,51,52,52
KORD,MinTemp,2016-05-15,37,37,39,38,40,42,43,43,45,48,50
KORD,MinTemp,2016-05-16,46,44,44,43,41,44,42,48,46,48,50
KORD,MinTemp,2016-05-17,47,46,45,46,49,49,52,46,47,46,49
KORD,MinTemp,2016-05-18,43,42,43,42,43,46,46,51,47,48,49
KORD,MinTemp,2016-05-19,42,45,44,44,45,44,44,46,49,50,52
KORD,MinTemp,2016-05-20,46,49,48,48,49,49,50,49,51,52,53
KORD,MinTemp,2016-05-21,53,51,51,50,49,52,53,55,53,54,54
KORD,MinTemp,2016-05-22,54,55,53,52,51,51,52,51,55,56,56
KORD,MinTemp,2016-05-23,50,54,51,51,55,54,54,51,56,57,59
KORD,MinTemp,2016-05-24,60,60,60,59,61,62,62,60,61,61,62
KORD,MinTemp,2016-05-25,67,66,64,65,65,65,64,63,64,61,61
KORD,MinTemp,2016-05-26,nan,nan,67,67,64,66,63,63,61,62,59
KORD,MinTemp,2016-05-27,70,nan,nan,69,68,68,68,62,60,58,58
KORD,MinTemp,2016-05-28,68,68,nan,nan,68,67,68,67,62,60,58
KORD,MinTemp,2016-05-29,64,62,68,nan,nan,67,66,66,64,62,57
KORD,MinTemp,2016-05-30,65,64,65,65,nan,nan,66,66,65,64,59
KORD,MinTemp,2016-05-31,65,64,64,65,65,nan,nan,65,64,63,62
KORD,MinTemp,2016-06-01,64,64,66,67,67,65,nan,nan,64,62,59
KORD,MinTemp,2016-06-02,59,61,61,61,59,65,65,nan,nan,64,60
KORD,MinTemp,2016-06-03,56,59,59,60,60,57,57,57,nan,nan,58
KORD,MinTemp,2016-06-04,64,65,64,64,63,62,59,54,53,nan,nan
KORD,MinTemp,2016-06-05,62,62,61,60,59,60,60,61,55,55,nan
KORD,MinTemp,2016-06-06,60,61,62,62,60,59,56,57,59,53,55
KORD,MinTemp,2016-06-07,57,56,56,56,58,58,56,54,56,55,56
KORD,MinTemp,2016-06-08,52,53,53,53,51,56,55,58,58,54,58
KORD,MinTemp,2016-06-09,54,55,56,56,55,57,60,59,62,63,59
KORD,MinTemp,2016-06-10,63,65,67,66,64,66,66,65,69,68,59
KORD,MinTemp,2016-06-11,72,74,74,74,73,72,74,68,61,66,67
KORD,MinTemp,2016-06-12,61,57,60,63,65,61,70,68,71,66,67
KORD,MinTemp,2016-06-13,58,56,55,58,62,63,59,68,71,71,68
KORD,MinTemp,2016-06-14,65,66,67,67,65,67,67,65,65,71,68
KORD,MinTemp,2016-06-15,68,72,72,71,68,67,71,67,66,64,67
KORD,MinTemp,2016-06-16,64,65,65,65,66,68,67,67,68,65,64
KORD,MinTemp,2016-06-17,61,61,62,62,62,63,63,63,63,67,65
KORD,MinTemp,2016-06-18,61,63,62,61,63,62,61,63,64,62,65
KORD,MinTemp,2016-06-19,66,67,66,65,65,66,64,64,65,64,64
KORD,MinTemp,2016-06-20,76,73,74,73,71,72,73,68,69,66,67
KORD,MinTemp,2016-06-21,64,65,64,64,65,64,65,68,68,66,69
KORD,MinTemp,2016-06-22,67,66,66,65,64,59,60,64,64,66,69
KORD,MinTemp,2016-06-23,65,65,64,63,67,65,57,59,61,64,66
KORD,MinTemp,2016-06-24,63,62,60,59,60,63,63,65,62,63,66
KORD,MinTemp,2016-06-25,66,67,64,65,65,67,67,63,66,65,66
KORD,MinTemp,2016-06-26,76,75,75,75,74,73,75,74,67,66,67
KORD,MinTemp,2016-06-27,69,70,69,67,69,71,72,71,69,68,66
KORD,MinTemp,2016-06-28,63,60,61,61,58,61,63,66,66,65,68
KORD,MinTemp,2016-06-29,57,57,55,55,57,56,57,60,62,63,64
KORD,MinTemp,2016-06-30,60,61,61,59,62,59,60,60,60,61,64
KORD,MinTemp,2016-07-01,62,62,62,63,63,63,64,63,62,61,64
KORD,MinTemp,2016-07-02,57,57,57,56,59,57,60,64,64,63,63
KORD,MinTemp,2016-07-03,59,60,61,61,61,60,60,63,62,64,65
KORD,MinTemp,2016-07-04,66,64,65,64,64,65,64,64,63,62,65
KORD,MinTemp,2016-07-05,67,67,67,66,66,66,68,67,66,64,63
KORD,MinTemp,2016-07-06,68,71,72,72,71,70,69,71,70,70,67
KORD,MinTemp,2016-07-07,71,73,72,71,73,73,75,73,73,72,70
KORD,MinTemp,2016-07-08,69,69,72,73,73,73,73,75,72,71,72
KORD,MinTemp,2016-07-09,67,66,66,65,65,66,68,71,69,71,68
KORD,MinTemp,2016-07-10,62,63,62,61,63,62,63,64,68,68,66
KORD,MinTemp,2016-07-11,71,69,65,66,65,65,65,66,66,69,71
KORD,MinTemp,2016-07-12,76,74,74,73,71,71,70,70,71,68,71
KORD,MinTemp,2016-07-13,70,72,74,74,73,74,74,73,73,71,71
KORD,MinTemp,2016-07-14,68,69,71,73,73,71,71,74,73,73,72
KORD,MinTemp,2016-07-15,63,64,66,67,65,66,66,69,73,71,71
KORD,MinTemp,2016-07-16,60,60,60,62,64,64,64,68,69,68,69
KORD,MinTemp,2016-07-17,63,64,65,65,66,67,66,70,71,70,68
KORD,MinTemp,2016-07-18,71,72,72,73,74,73,71,69,72,73,72
KORD,MinTemp,2016-07-19,68,69,69,69,68,68,71,71,70,72,72
KORD,MinTemp,2016-07-20,71,72,71,71,65,65,65,71,72,70,70
KORD,MinTemp,2016-07-21,72,75,75,74,74,72,71,72,76,74,71
KORD,MinTemp,2016-07-22,73,75,77,77,78,78,78,76,75,75,75
KORD,MinTemp,2016-07-23,71,75,75,73,77,77,77,73,75,75,75
KORD,MinTemp,2016-07-24,70,70,77,77,78,78,74,72,70,73,72
KORD,MinTemp,2016-07-25,72,72,72,72,74,72,71,68,69,69,70
KORD,MinTemp,2016-07-26,70,69,68,69,69,70,70,68,66,68,69
KORD,MinTemp,2016-07-27,70,68,69,69,69,70,70,66,67,66,68
KORD,MinTemp,2016-07-28,71,70,70,71,70,71,71,69,69,69,69
KORD,MinTemp,2016-07-29,69,68,69,67,68,69,69,67,68,70,71
KORD,MinTemp,2016-07-30,69,68,68,67,66,66,67,67,66,68,68
KORD,MinTemp,2016-07-31,65,64,66,65,66,66,64,65,66,65,67
KORD,MinTemp,2016-08-01,67,66,66,66,65,67,67,66,67,66,64
KORD,MinTemp,2016-08-02,69,68,68,69,69,71,71,69,70,69,67
KORD,MinTemp,2016-08-03,72,71,72,72,73,70,72,73,72,72,72
KORD,MinTemp,2016-08-04,71,71,71,72,72,72,71,74,73,72,71
KORD,MinTemp,2016-08-05,73,73,72,73,73,74,74,73,71,70,68
KORD,MinTemp,2016-08-06,66,66,67,65,66,68,68,69,69,66,66
KORD,MinTemp,2016-08-07,63,65,65,66,65,65,67,67,68,67,66
KORD,MinTemp,2016-08-08,71,67,66,65,64,66,66,66,67,66,65
KORD,MinTemp,2016-08-09,68,68,67,67,66,67,68,68,67,67,66
KORD,MinTemp,2016-08-10,70,72,72,72,71,72,73,73,71,67,67
KORD,MinTemp,2016-08-11,74,75,74,75,73,73,73,72,73,70,68
KORD,MinTemp,2016-08-12,73,75,76,78,76,76,75,73,71,72,71
KORD,MinTemp,2016-08-13,73,73,71,71,72,71,69,71,71,70,70
KORD,MinTemp,2016-08-14,67,68,68,69,67,67,67,65,66,68,67
KORD,MinTemp,2016-08-15,68,69,69,68,67,65,65,64,64,65,67
KORD,MinTemp,2016-08-16,71,70,70,68,68,66,65,65,64,62,65
KORD,MinTemp,2016-08-17,70,70,70,69,69,68,67,66,65,67,65
KORD,MinTemp,2016-08-18,71,70,69,69,69,69,69,68,67,66,68
KORD,MinTemp,2016-08-19,70,71,72,70,70,70,69,70,69,67,67
KORD,MinTemp,2016-08-20,68,67,69,69,71,70,70,71,70,68,68
KORD,MinTemp,2016-08-21,59,60,61,62,63,67,64,66,67,67,65
KORD,MinTemp,2016-08-22,56,56,57,58,58,58,61,61,62,62,62
KORD,MinTemp,2016-08-23,61,63,63,63,62,60,61,60,61,60,60
KORD,MinTemp,2016-08-24,71,70,70,69,67,66,64,64,62,61,61
KORD,MinTemp,2016-08-25,69,70,71,71,70,71,70,68,66,64,62
KORD,MinTemp,2016-08-26,66,64,64,64,62,62,64,63,67,67,64
KORD,MinTemp,2016-08-27,68,69,68,67,66,62,63,62,62,63,66
KORD,MinTemp,2016-08-28,70,70,69,69,69,70,68,66,64,61,63
KORD,MinTemp,2016-08-29,70,69,67,69,70,67,69,70,67,65,62
KORD,MinTemp,2016-08-30,71,70,70,68,69,70,65,67,69,67,67
KORD,MinTemp,2016-08-31,66,66,67,66,67,68,70,65,66,67,66
KORD,MinTemp,2016-09-01,62,63,63,62,63,63,64,67,67,66,67
KORD,MinTemp,2016-09-02,62,61,60,60,59,59,60,61,67,67,67
KORD,MinTemp,2016-09-03,58,59,58,59,58,58,58,59,63,68,70
KORD,MinTemp,2016-09-04,60,60,60,61,62,60,60,61,64,71,68
KORD,MinTemp,2016-09-05,63,64,65,64,64,65,68,67,69,69,71
KORD,MinTemp,2016-09-06,76,73,74,73,71,71,72,71,71,72,72
KORD,MinTemp,2016-09-07,76,76,76,77,75,75,76,74,74,69,73
KORD,MinTemp,2016-09-08,73,72,70,74,72,71,73,73,72,70,69
KORD,MinTemp,2016-09-09,65,66,65,65,70,68,65,67,70,70,69
KORD,MinTemp,2016-09-10,63,63,63,64,64,65,65,66,66,67,69
KORD,MinTemp,2016-09-11,54,54,55,55,56,57,58,58,60,65,62
KORD,MinTemp,2016-09-12,57,58,58,57,58,58,58,60,60,62,58
KORD,MinTemp,2016-09-13,64,63,62,63,62,63,64,62,63,61,64
KORD,MinTemp,2016-09-14,64,64,62,62,63,60,60,60,60,59,58
KORD,MinTemp,2016-09-15,61,60,61,58,59,60,56,57,58,56,56
KORD,MinTemp,2016-09-16,65,63,63,63,63,62,62,57,58,56,56
KORD,MinTemp,2016-09-17,66,67,67,67,67,67,66,64,60,60,61
KORD,MinTemp,2016-09-18,60,60,60,59,60,61,61,61,61,63,63
KORD,MinTemp,2016-09-19,59,61,61,63,62,60,61,60,58,59,64
KORD,MinTemp,2016-09-20,66,64,65,65,62,63,64,63,60,57,60
KORD,MinTemp,2016-09-21,67,67,66,65,64,61,60,62,62,59,59
KORD,MinTemp,2016-09-22,65,65,67,68,69,69,68,67,65,62,59
KORD,MinTemp,2016-09-23,68,67,68,68,68,67,69,70,64,62,60
KORD,MinTemp,2016-09-24,65,65,65,66,66,66,68,68,64,59,57
KORD,MinTemp,2016-09-25,64,63,63,65,66,64,62,65,62,60,56
KORD,MinTemp,2016-09-26,58,58,56,59,62,64,61,61,60,56,58
KORD,MinTemp,2016-09-27,52,52,51,51,52,56,59,58,57,55,53
KORD,MinTemp,2016-09-28,51,51,51,49,52,52,55,60,58,57,53
KORD,MinTemp,2016-09-29,58,58,59,57,55,53,53,55,57,56,57
KORD,MinTemp,2016-09-30,60,60,61,61,58,54,54,54,54,56,57
KORD,MinTemp,2016-10-01,59,59,58,59,59,57,55,55,54,56,56
KORD,MinTemp,2016-10-02,57,56,57,55,56,56,56,54,55,57,58
KORD,MinTemp,2016-10-03,57,53,55,57,55,56,56,56,56,57,60
KORD,MinTemp,2016-10-04,59,57,57,58,58,56,57,57,57,58,60
KORD,MinTemp,2016-10-05,62,63,64,62,61,61,60,60,61,61,59
KORD,MinTemp,2016-10-06,60,63,64,65,64,63,60,58,60,61,60
KORD,MinTemp,2016-10-07,50,51,53,54,58,54,54,54,52,56,55
KORD,MinTemp,2016-10-08,41,43,44,46,48,50,48,50,50,51,51
KORD,MinTemp,2016-10-09,50,50,49,49,50,47,47,48,49,52,49
KORD,MinTemp,2016-10-10,45,48,50,51,51,53,52,48,52,51,51
KORD,MinTemp,2016-10-11,54,57,57,55,54,58,57,53,52,54,50
KORD,MinTemp,2016-10-12,48,47,52,54,52,53,55,55,55,53,53
