Day,PoP
08-01,0.2719
08-02,0.3596
08-03,0.3596
08-04,0.3509
08-05,0.3421
08-06,0.3772
08-07,0.3451
08-08,0.3982
08-09,0.3947
08-10,0.3684
08-11,0.386
08-12,0.3772
08-13,0.3509
08-14,0.3894
08-15,0.3684
08-16,0.3158
08-17,0.386
08-18,0.4386
08-19,0.3596
08-20,0.3158
08-21,0.3509
08-22,0.3421
08-23,0.3246
08-24,0.3158
08-25,0.2719
08-26,0.3246
08-27,0.3158
08-28,0.2895
08-29,0.3509
08-30,0.307
08-31,0.2895
09-01,0.3333
09-02,0.3947
09-03,0.3596
09-04,0.2807
09-05,0.2807
09-06,0.2807
09-07,0.2632
09-08,0.3772
09-09,0.3772
09-10,0.2895
09-11,0.3421
09-12,0.4035
09-13,0.3509
09-14,0.386
09-15,0.3684
09-16,0.3684
09-17,0.3333
09-18,0.2807
09-19,0.3772
09-20,0.4035
09-21,0.3894
09-22,0.3304
09-23,0.3509
09-24,0.3509
09-25,0.386
09-26,0.386
09-27,0.3772
09-28,0.3596
09-29,0.3158
09-30,0.2982
10-01,0.2411
10-02,0.2946
10-03,0.3839
10-04,0.3839
10-05,0.4035
10-06,0.3333
10-07,0.3333
10-08,0.3684
10-09,0.3421
10-10,0.2982
10-11,0.3333
10-12,0.2982
10-13,0.3158
10-14,0.3333
10-15,0.3509
10-16,0.3684
10-17,0.3246
10-18,0.4561
10-19,0.3684
10-20,0.3596
10-21,0.3158
10-22,0.307
10-23,0.4035
10-24,0.4561
10-25,0.3421
10-26,0.3684
10-27,0.3947
10-28,0.3333
10-29,0.3421
10-30,0.3661
10-31,0.4602
11-01,0.4474
11-02,0.4035
11-03,0.3772
11-04,0.3947
11-05,0.4123
11-06,0.3451
11-07,0.4211
11-08,0.386
11-09,0.4071
11-10,0.4123
11-11,0.386
11-12,0.4386
11-13,0.3947
11-14,0.4561
11-15,0.4649
11-16,0.4649
11-17,0.3684
11-18,0.469
11-19,0.4561
11-20,0.4123
11-21,0.4123
11-22,0.4298
11-23,0.4825
11-24,0.3947
11-25,0.4211
11-26,0.5044
11-27,0.5702
11-28,0.4737
11-29,0.4561
11-30,0.3947
12-01,0.4386
12-02,0.4123
12-03,0.4561
12-04,0.5175
12-05,0.5
12-06,0.5175
12-07,0.4737
