Day,PoP
11-01,0.5172
11-02,0.5172
11-03,0.4483
11-04,0.5517
11-05,0.5
11-06,0.6034
11-07,0.4483
11-08,0.4483
11-09,0.5172
11-10,0.5345
11-11,0.5862
11-12,0.4828
11-13,0.5172
11-14,0.6034
11-15,0.6552
11-16,0.5
11-17,0.569
11-18,0.5517
11-19,0.6034
11-20,0.5862
11-21,0.4138
11-22,0.4483
11-23,0.5517
11-24,0.5
11-25,0.5345
11-26,0.6034
11-27,0.6897
11-28,0.6034
11-29,0.431
11-30,0.5862
12-01,0.6034
12-02,0.6034
12-03,0.5345
12-04,0.5862
12-05,0.6724
12-06,0.6379
12-07,0.5172
12-08,0.6207
12-09,0.7069
12-10,0.6034
12-11,0.6552
12-12,0.5172
12-13,0.5172
12-14,0.569
12-15,0.5345
12-16,0.569
12-17,0.6207
12-18,0.5172
12-19,0.6552
12-20,0.7241
12-21,0.6379
12-22,0.6379
12-23,0.6724
12-24,0.6897
12-25,0.6552
12-26,0.7069
12-27,0.6724
12-28,0.6034
12-29,0.6379
12-30,0.569
12-31,0.6724
01-01,0.6552
01-02,0.6379
01-03,0.6552
01-04,0.5
01-05,0.5
01-06,0.569
01-07,0.5
01-08,0.6379
01-09,0.5862
01-10,0.569
01-11,0.6207
01-12,0.6379
01-13,0.6724
01-14,0.6897
01-15,0.6552
01-16,0.6379
01-17,0.6034
01-18,0.6207
01-19,0.5862
01-20,0.6897
01-21,0.6552
01-22,0.6897
01-23,0.569
01-24,0.5862
01-25,0.6379
01-26,0.6724
01-27,0.6379
01-28,0.6207
01-29,0.6724
01-30,0.6034
01-31,0.569
02-01,0.6034
02-02,0.5517
02-03,0.6379
02-04,0.5
02-05,0.4828
02-06,0.5345
02-07,0.6034
02-08,0.6207
02-09,0.5517
02-10,0.6379
02-11,0.5345
02-12,0.4828
02-13,0.569
02-14,0.6552
02-15,0.6552
02-16,0.6034
02-17,0.4828
02-18,0.5345
02-19,0.5517
02-20,0.5345
02-21,0.5172
02-22,0.6207
02-23,0.6724
02-24,0.569
02-25,0.5345
02-26,0.5862
02-27,0.5172
02-28,0.6724
03-01,0.5862
03-02,0.569
03-03,0.569
03-04,0.6379
03-05,0.7241
03-06,0.6034
03-07,0.5345
03-08,0.6207
